Final Output:
Generation 13
Best Fitness: 26.20000000000001
Activity: SLA191B, Day: Monday, Time: 11:00:00, Room: Loft206, Facilitator: Glen
Activity: SLA394, Day: Monday, Time: 11:00:00, Room: Slater003, Facilitator: Richards
Activity: SLA100B, Day: Monday, Time: 12:00:00, Room: Roman201, Facilitator: Lock
Activity: SLA201, Day: Monday, Time: 12:00:00, Room: Loft310, Facilitator: Glen
Activity: SLA304, Day: Monday, Time: 12:00:00, Room: Slater003, Facilitator: Richards
Activity: SLA449, Day: Monday, Time: 12:00:00, Room: Loft206, Facilitator: Shaw
Activity: SLA100A, Day: Monday, Time: 14:00:00, Room: Roman201, Facilitator: Glen
Activity: SLA191A, Day: Monday, Time: 14:00:00, Room: Loft206, Facilitator: Zeldin
Activity: SLA451, Day: Monday, Time: 14:00:00, Room: Loft310, Facilitator: Singer
Activity: SLA291, Day: Monday, Time: 15:00:00, Room: Frank119, Facilitator: Singer
Activity: SLA303, Day: Monday, Time: 15:00:00, Room: Beach301, Facilitator: Glen
Activity: SLA100B, Day: Wednesday, Time: 10:00:00, Room: Loft310, Facilitator: Glen
Activity: SLA291, Day: Wednesday, Time: 10:00:00, Room: Frank119, Facilitator: Numen
Activity: SLA303, Day: Wednesday, Time: 10:00:00, Room: Beach301, Facilitator: Zeldin
Activity: SLA191A, Day: Wednesday, Time: 11:00:00, Room: Frank119, Facilitator: Zeldin
Activity: SLA201, Day: Wednesday, Time: 12:00:00, Room: Frank119, Facilitator: Shaw
Activity: SLA451, Day: Wednesday, Time: 12:00:00, Room: Loft310, Facilitator: Zeldin
Activity: SLA394, Day: Wednesday, Time: 13:00:00, Room: Slater003, Facilitator: Singer
Activity: SLA449, Day: Wednesday, Time: 13:00:00, Room: Loft310, Facilitator: Shaw
Activity: SLA304, Day: Wednesday, Time: 14:00:00, Room: Beach201, Facilitator: Glen
Activity: SLA100A, Day: Wednesday, Time: 15:00:00, Room: Roman201, Facilitator: Glen
Activity: SLA191B, Day: Wednesday, Time: 15:00:00, Room: Frank119, Facilitator: Richards
Activity: SLA201, Day: Friday, Time: 10:00:00, Room: Loft310, Facilitator: Glen
Activity: SLA291, Day: Friday, Time: 10:00:00, Room: Frank119, Facilitator: Lock
Activity: SLA449, Day: Friday, Time: 10:00:00, Room: Beach201, Facilitator: Uther
Activity: SLA100A, Day: Friday, Time: 11:00:00, Room: Loft310, Facilitator: Lock
Activity: SLA100B, Day: Friday, Time: 12:00:00, Room: Beach201, Facilitator: Banks
Activity: SLA191A, Day: Friday, Time: 12:00:00, Room: Loft206, Facilitator: Lock
Activity: SLA191B, Day: Friday, Time: 13:00:00, Room: Roman201, Facilitator: Banks
Activity: SLA303, Day: Friday, Time: 14:00:00, Room: Loft310, Facilitator: Glen
Activity: SLA304, Day: Friday, Time: 14:00:00, Room: Beach201, Facilitator: Banks
Activity: SLA394, Day: Friday, Time: 15:00:00, Room: Roman201, Facilitator: Singer
Activity: SLA451, Day: Friday, Time: 15:00:00, Room: Loft310, Facilitator: Glen
